,제목,주소,경도,위도
246,개롱역점, 서울 송파구 오금로 407,127.136543,37.4980947
247,거여점, 서울 송파구 오금로 497,127.144168,37.4934907
248,마천사거리점, 서울 송파구 마천로 264,127.145997,37.4981286
249,문정KDU타워점, 서울 송파구 정의로 70,127.115468,37.4860255
250,문정문현점, 서울 송파구 새말로8길 30,127.126629,37.4801307
251,문정중앙점, 서울 송파구 문정로 31-1,127.126312,37.4864561
252,문정테라타워점, 서울 송파구 송파대로 167,127.121029,37.4846505
253,방이미성점, 서울 송파구 오금로 251,127.121968,37.5061564
254,방이시장점, 서울 송파구 백제고분로48길 3,127.113732,37.5118499
255,방이역점, 서울 송파구 위례성대로18길 32,127.124699,37.5095594
256,방이초교점, 서울 송파구 가락로 280,127.120022,37.5127447
257,삼전역점, 서울 송파구 백제고분로 263,127.095781,37.5027745
258,서울삼성내과점, 서울 송파구 백제고분로 126,127.080721,37.5061463
259,석촌백제점, 서울 송파구 백제고분로39길 15,127.104414,37.5056595
260,석촌사거리점, 서울 송파구 송파대로 409,127.108245,37.5034847
261,석촌역점, 서울 송파구 송파대로 456,127.105819,37.5071900
262,송파동점, 서울 송파구 백제고분로41길 5,127.108363,37.5067192
263,송파문정점, 서울 송파구 송이로 159,127.125328,37.4929443
264,송파올림픽훼미리타운점, 서울 송파구 중대로 24,127.114352,37.4884954
265,송파위례점, 서울 송파구 위례광장로 188,127.142425,37.4810589
266,송파잠실점, 서울 송파구 삼전로 95,127.089906,37.5069777
267,송파파인타운점, 서울 송파구 충민로2길 28,127.127382,37.4772287
268,송파풍납점, 서울 송파구 강동대로9길 17-1,127.116528,37.5280832
269,송파하비오점, 서울 송파구 송파대로 111,127.123645,37.4805933
270,송파한양점, 서울 송파구 가락로 165,127.113539,37.5037771
271,오금점, 서울 송파구 오금로 306,127.126102,37.5028635
272,오금중앙점,  서울 송파구 위례성대로22길,우편번호없음,x좌표없음
273,올림픽공원점, 서울 송파구 올림픽로 354,127.109530,37.5160975
274,올림픽프라자점, 서울 송파구 양재대로 1222,127.132198,37.5158133
275,위례아이파크점, 서울 송파구 위례광장로 136,127.142214,37.4771038
276,위례포레샤인점, 서울 송파구 위례순환로 477,127.136547,37.4750111
277,잠실나루역점, 서울 송파구 올림픽로35길 104,127.099366,37.5195572
278,잠실본동점, 서울 송파구 백제고분로 172,127.085820,37.5047012
279,잠실역점, 서울 송파구 송파대로 567,127.078996,37.5115534
280,종합운동장역점, 서울 송파구 올림픽로 76,127.078996,37.5115534
281,가양역점, 서울 강서구 양천로 500,126.855561,37.5604850
282,강서nc점, 서울 강서구 강서로54길 11,126.839254,37.5593195
283,강서가양동점,  서울 강서구 강서로,우편번호없음,x좌표없음
284,강서교차로점, 서울 강서구 공항대로 437,126.855889,37.5549984
285,강서구청점, 서울 강서구 화곡로 292,126.848882,37.5502503
286,강서한강자이점, 서울 강서구 양천로 401,126.848636,37.5651795
287,개화산역점, 서울 강서구 양천로 28,126.806931,37.5723351
288,곰달래사거리점, 서울 강서구 곰달래로 52,126.838594,37.5298832
289,공항시장역점, 서울 강서구 방화동로 37,126.810789,37.5641784
290,까치산로점, 서울 강서구 까치산로 182,126.853866,37.5532930
291,까치산역점, 서울 강서구 강서로17길 6,126.845205,37.5333880
292,내발산점, 서울 강서구 강서로 304,126.836609,37.5527206
293,등촌3동점, 서울 강서구 공항대로41길 34,126.845706,37.5592831
294,등촌동점, 서울 강서구 공항대로61길 20,126.865865,37.5517757
295,등촌역점, 서울 강서구 등촌로 217,126.863290,37.5491418
296,등촌중앙점, 서울 강서구 등촌로 67,126.863144,37.5360682
297,렘넌트문화센터점, 서울 강서구 화곡로63길 65,126.849206,37.5579542
298,마곡나루역점, 서울 강서구 마곡중앙5로 6,126.827341,37.5672763
299,마곡대방디엠씨티점, 서울 강서구 양천로 344,126.840242,37.5683037
300,마곡수명산점, 서울 강서구 수명로 68-27,126.826662,37.5526612
301,마곡엠밸리점, 서울 강서구 마곡서로 101,126.823571,37.5626396
302,마곡역점, 서울 강서구 공항대로 195,126.829146,37.5598728
303,마곡중앙점, 서울 강서구 마곡중앙6로 66,126.834341,37.5598983
304,마곡퀸즈파크9점, 서울 강서구 공항대로 247,126.835214,37.5592959
305,마곡파인스퀘어점, 서울 강서구 마곡중앙4로 22,126.829275,37.5580800
306,마곡헤리움점, 서울 강서구 마곡중앙5로1길 25,126.826114,37.5692206
307,발산역점, 서울 강서구 공항대로 280,126.838408,37.5580119
308,방화동로점, 서울 강서구 방화동로 95,126.812633,37.5690106
309,방화사거리점, 서울 강서구 양천로 72,126.811706,37.5731447
310,방화역점, 서울 강서구 금낭화로 146,126.813278,37.5781747
311,서울공진초교점, 서울 강서구 마곡중앙1로 26,126.823830,37.5586126
312,송정역점, 서울 강서구 공항대로 24,126.809937,37.5611226
313,신방화역점, 서울 강서구 마곡중앙5로 81,126.818558,37.5671279
314,신방화중앙점, 서울 강서구 방화대로34길 92,126.821480,37.5708354
315,양천향교역점, 서울 강서구 강서로 462,126.841401,37.5666024
316,염창동점, 서울 강서구 양천로 689,126.872929,37.5505042
317,염창블루나인점, 서울 강서구 양천로 583,126.864305,37.5571618
318,우장산동점, 서울 강서구 우현로 15,126.843592,37.5471620
319,우장산역점, 서울 강서구 강서로45길 5,126.835817,37.5478091
320,화곡남부시장점, 서울 강서구 등촌로5길 80,126.858941,37.5330449
321,화곡로점, 서울 강서구 화곡로 133,126.836454,37.5408453
322,화곡본동시장점, 서울 강서구 까치산로4길 11,126.844282,37.5422075
323,화곡사거리점, 서울 강서구 곰달래로 135,126.847903,37.5307696
324,화곡중앙시장점, 서울 강서구 가로공원로76길 61,126.838256,37.5343967
325,화곡중앙점,  서울 강서구 까치산로,우편번호없음,x좌표없음
326,IBK고객센터점, 서울 용산구 한남대로 72,127.006961,37.5351129
327,동부이촌동점, 서울 용산구 이촌로77길 19,126.975014,37.5203427
328,동자동점, 서울 용산구 후암로 93,126.975105,37.5533282
329,삼각지점, 서울 용산구 한강대로 138,126.970440,37.5314329
330,숙대입구역점, 서울 용산구 한강대로 289,126.971951,37.5440472
331,순천향병원점, 서울 용산구 대사관로 72,127.005919,37.5330316
332,용문점, 서울 용산구 원효로41길 73,126.961115,37.5358269
333,용산원효점, 서울 용산구 원효로 70,126.951659,37.5324536
334,용산중앙점, 서울 용산구 한강대로 52-1,126.964662,37.5253946
335,용산청파점, 서울 용산구 청파로71길 10,126.969391,37.5494435
336,용산효창점, 서울 용산구 효창원로66길 2,126.962165,37.5405575
337,용산후암점, 서울 용산구 후암로 40-2,126.977686,37.5495175
338,원효로점, 서울 용산구 원효로 257,126.969191,37.5406317
339,이태원역점, 서울 용산구 이태원로 176,126.993406,37.5342298
340,가재울점, 서울 서대문구 수색로 100,126.910393,37.5728025
341,가재울중앙점, 서울 서대문구 가재울미래로 2,126.917840,37.5743487
342,독립문통일로점, 서울 서대문구 영천동 ,우편번호없음,x좌표없음
343,동교동점, 서울 서대문구 신촌로 5,126.927681,37.5586600
344,명지대점, 서울 서대문구 거북골로 35,126.923903,37.5793353
345,명지전문대점, 서울 서대문구 가좌로 140,126.924169,37.5845432
346,무악재역점, 서울 서대문구 홍제동 ,우편번호없음,x좌표없음
347,북가좌동점, 서울 서대문구 증가로 257,126.911513,37.5834350
348,서대문구청점, 서울 서대문구 연희로 237,126.935677,37.5782162
349,서대문점, 서울 서대문구 냉천동,우편번호없음,x좌표없음
350,신촌기차역점, 서울 서대문구 신촌역로 35,126.941455,37.5589381
351,신촌역점, 서울 서대문구 신촌로 87-20,126.936421,37.5564397
352,아현역점, 서울 서대문구 신촌로35길 10,126.955818,37.5582327
353,연남동점, 서울 서대문구 연희로 42,126.927870,37.5623452
354,연대서문점, 서울 서대문구 연희로10길 86,126.933687,37.5636821
355,연세대점, 서울 서대문구 연세로12길 10,126.937505,37.5588459
356,연희삼거리점, 서울 서대문구 연희로 117,126.931826,37.5682851
357,이화여대점, 서울 서대문구 이화여대길 26,126.946073,37.5579492
358,충정로3가점, 서울 서대문구 경기대로 26-26,126.962211,37.5612714
359,홍은사거리점, 서울 서대문구 통일로 510,126.941575,37.5933559
360,홍제역점, 서울 서대문구 홍제동,우편번호없음,x좌표없음
361,건대로데오점, 서울 광진구 아차산로30길 8,127.067587,37.5404013
362,건대스타시티2호점, 서울 광진구 능동로 92,127.071115,37.5387775
363,건대스타시티점, 서울 광진구 아차산로 272,127.072529,37.5378396
364,건대역점, 서울 광진구 아차산로 229,127.069262,37.5407337
365,건대후문점, 서울 광진구 광나루로 416,127.075502,37.5465143
366,광나루점, 서울 광진구 아차산로 624,127.107540,37.5481928
367,광진구청점, 서울 광진구 자양로 136,127.083404,37.5397697
368,구의동점, 서울 광진구 아차산로 481,127.094970,37.5409234
369,구의사거리점, 서울 광진구 광나루로 508,127.085843,37.5447865
370,구의역점, 서울 광진구 구의로 4,127.089275,37.5381977
371,구의자양로점, 서울 광진구 자양로 251,127.089197,37.5490367
372,군자역점, 서울 광진구 능동로 290,127.078951,37.5555851
373,동서울터미널점, 서울 광진구 구의동 ,우편번호없음,x좌표없음
374,뚝섬유원지역점, 서울 광진구 능동로 21,127.067264,37.5334908
375,세종대정문점, 서울 광진구 능동로 261,127.077116,37.5535050
376,세종대후문점, 서울 광진구 군자로 109,127.071966,37.5528595
377,아차산역점, 서울 광진구 천호대로 663,127.090117,37.5517480
378,어린이대공원역점, 서울 광진구 광나루로 380,127.071825,37.5475527
379,자양동점, 서울 광진구 자양로 46,127.085953,37.5322266
380,자양우성점, 서울 광진구 자양번영로 34,127.075805,37.5326839
381,중곡대원점, 서울 광진구 용마산로 111,127.086656,37.5635806
382,중곡신성점, 서울 광진구 용마산로 37,127.087713,37.5570026
383,중곡역점, 서울 광진구 능동로 407,127.083772,37.5654207
384,중곡중앙점, 서울 광진구 능동로 330,127.080788,37.5589626
385,강동고덕교차로점, 서울 강동구 고덕로 421,127.172391,37.5574059
386,강동구청점, 서울 강동구 성내로6길 20,127.122197,37.5290686
387,강동성내점, 서울 강동구 풍성로 162,127.129836,37.5304661
388,강동신명초교점, 서울 강동구 명일로 260,127.147495,37.5414827
389,강동역점, 서울 강동구 천호대로 1065,127.130402,37.5369977
390,강일점, 서울 강동구 아리수로93길 19,127.174096,37.5653681
