,제목,저자,출판사,출판일,가격,ISBN
21,ほんとうは危ない日本,田母神俊雄／著,PHP硏究所,20120618,9710,9784569805429
22,二十四節氣のえほん,,PHP硏究所,20140509,21010,9784569783987
23,"ゆたかに,シンプルに生きる",호사카 다카시,PHP硏究所,20111201,17070,9784569801094
24,まめうしのびっくりなあき,아키야마 타다시,PHP硏究所,20070903,15750,9784569687292
25,1％の人だけが實行している45の習慣,이노우에 히로유키,PHP硏究所,20131105,7240,9784569760360
26,ダンゴロゴロちゃん,타다 사토시,PHP硏究所,20140709,17070,9784569784090
27,日本の不思議傳說大圖鑑 (こわい!びっくり!雪女.河童から平將門まで),,PHP硏究所,20130303,36760,9784569783116
28,惱みを「力」に變える100の言葉,우에니시 아키라,PHP硏究所,20120801,9980,9784569806099
29,"考えずに,頭を使う",櫻庭和志／著,PHP硏究所,20120801,9710,9784569802374
30,「女の不調」解消BOOK ココロとカラダを左右する女性ホルモンの秘密,,PHP硏究所,20131105,7490,9784569760872
31,"圖解すぐに使える!心理學 戀愛,ビジネスからうつ病までスッキリわかる!",시부야 쇼조,PHP硏究所,20120201,12500,9784569802701
32,ゆきのはな,다치모토 미치코,PHP硏究所,20081104,15750,9784569689142
33,"合格判定0％から1年で東大醫學部に合格した人の秘密の勉强法 (圖解 勉强もビジネスも,長く樂しめる仕組みを作った人がすごい結果を出す!)",이와나미 구니아키,PHP硏究所,20141016,10500,9784569819389
34,親子で樂しむかわいいポンポン小物,くまだまり／著,PHP硏究所,20121121,15750,9784569808468
35,ヒミコの夏,구지라 도이치로,PHP硏究所,20080501,11000,9784569670225
36,圖解「熟睡できる人」の習慣,호사카 다카시,PHP硏究所,20120117,10500,9784569801698
37,かぶとむしランドセル,ふくべあきひろ／さく おおのこうへい／え,PHP硏究所,20130711,15750,9784569782805
38,まめうしとつぶた,아키야마 타다시,PHP硏究所,19990315,14050,9784569681641
39,社長になる人に知っておいてほしいこと,마쓰시타 고노스케,PHP硏究所,20090829,12500,9784569771687
40,決定版 190円以下の節約おべんとう,이와사키 게이코,PHP硏究所,20100219,17070,9784569776736
41,女性が50代を後悔しない51のリスト,사쿠라이 히데노리,PHP硏究所,20120201,17070,9784569801971
42,博報堂スタイル (發想職人のスピリット),다카하시 노부유키,PHP硏究所,20080301,13130,9784569698175
43,德川某重大事件 殿樣たちの修羅場,德川宗英／著,PHP硏究所,20130517,10240,9784569811482
44,消しゴムはんこのちょこっとアイデア メモや手紙にいろいろ使える!,mizutama,PHP硏究所,20110601,13130,9784569796802
45,コミュニケ―ション力を引き出す 演劇ワ―クショップのすすめ (演劇ワ-クショップのすすめ),히라타 오리자,PHP硏究所,20130503,9710,9784569771052
46,"今こそ「お金の敎養」を身につけなさい 稼ぎ,貯め,殖やす人の“37のル-ル”",菅下淸廣／著,PHP硏究所,20130520,10760,9784569812052
