,제목,저자,출판사,출판일,가격,ISBN
35,SQL 기초 실습 (PLB(문제중심학습)기반),김훈기,글로벌,20190814.0,13500,9788955027808
36,MySQL 5.X,김상호,글로벌,20120115.0,19000,9788955026191
37,SQL 튜닝 비법 (기본 문법부터 최적의 성능을 발휘하는 SQL 작성까지),강남이,인사이트,20130315.0,20700,9788966260690
38,불친절한 PL/SQL 프로그래밍 (기본 개념에서 고급 기능까지 오라클 PL/SQL의 바이블),정희락,디비안(주)(DBian),20210412.0,36000,9791196395780
39,오라클 SQL 튜닝,이경오,한빛미디어,20160318.0,15120,9788968488146
40,SQL로 시작하는 데이터 분석 (실무에 꼭 필요한 분석 기법 총정리!),캐시 타니무라,한빛미디어,20220810.0,27000,9791169210089
41,데이터베이스 이론과 SQL활용,이창석^길은숙,한경사,20220830.0,26100,9788968444289
42,하루 10분 SQL (따라 하면서 배우고 쉽게 업무에 활용하는 실전 SQL),한상일,위키북스,20200710.0,21600,9791158392130
43,누구나 쉽게 SQL (재미있게 술술 읽으면서 이해하는 SQL 이야기),홍형경,길벗,20190613.0,13500,9791160508161
44,SQL 코딩의 기술 (Effective SQL | 똑똑하게 코딩하는 법),존 비아시에스,길벗,20171130.0,25200,9791160503425
45,PHP & MYSQL (효과적이고 생동감 넘치는 웹 애플리케이션 만들기),린 베일리^마이클 모리슨,한빛미디어,20100506.0,28800,9788979147391
46,SQL Easy,,Createspace,20130204.0,19530,9781482358278
47,Mysql 반양장,Mysql Ab (EDT),Macmillan Computer,20040719.0,0,9780672326349
48,Head First PHP & MySQL: A Brain-Friendly Guide (Php & Mysql),"Beighley, Lynn",O&#39;Reilly Media,20081201.0,81720,9780596006303
49,Php & Mysql (The Missing Manual),"McLaughlin, Brett",Oreilly & Associates Inc,20111122.0,51990,9780596515867
50,SQL 이론과 실무,조성건,기전연구사,20030125.0,13500,9788933606186
51,Do it! SQL 입문 (비전공자도 개발자도 쉽게 배우는  기초 문법 + 실용 예제),강성욱,이지스퍼블리싱,20220701.0,19800,9791163033806
52,"김상형의 SQL 정복 (Oracle, MSSQL, MariaDB 기반 실습환경)",김상형,한빛미디어,20210501.0,35100,9791162244241
53,SQL SERVER 튜닝 가이드 (현장 이슈들을 축약하여 예시로 배워보는 족보집),김성식^채영석^서채원^김국현^김민섭,엑셈,20220404.0,33300,9791188427048
54,프로 SQL 애저 입문,Scott Klein,ITC,20110810.0,21600,9788963510293
55,넘버투 PHP (MySQL 맞짱뜨기),이호진,비제이퍼블릭,20180131.0,25200,9791186697511
56,MySQL(한국어판) (효율적인 웹 애플리케이션 데이터베이스 운용 관리 가이드),폴 뒤브와,에이콘출판,20140401.0,49500,9788960775411
57,"SQL 더 쉽게, 더 깊게 (친절한 설명과 풍부한 그림으로 배우는)",미크,제이펍,20140917.0,0,9791185890043
58,NoSQL 철저 입문 (NoSQL 세상을 이해하고 최적의 NoSQL을 선택하자),댄 설리번,길벗,20151228.0,0,9791186978368
59,SQL Bible,"Kriegel, Alex",John Wiley & Sons,20080407.0,89170,9780470229064
60,"이것이 MySQL이다 (MySQL 설치부터 PHP, 파이썬 연동까지 한번에!)",우재남,한빛미디어,20200510.0,28800,9791162242780
61,이것이 MySQL이다 (MySQL 설치부터 PHP 연동까지 한번에!),우재남,한빛미디어,20160610.0,0,9788968482793
62,SQL이 보이는 그림책 (개정증보판),"ANK co.,Ltd.",성안당,20190207.0,15300,9788931555875
63,DB 이론과 SQL 실습,조영성^정지문,혜지원,20090820.0,18000,9788983796110
64,SQL이 보이는 그림책,"ANK Co., Ltd.",성안당,20150920.0,0,9788931553864
65,쉽게 배우는 MY SQL,김상호^나인섭^정종필,글로벌,20190425.0,19800,9788955027730
