,제목,저자,출판사,출판일,가격,ISBN
69,JAVA 프로그래밍 기초,박영호 (풀이)^홍창수,교학사,20150215.0,18000,9788909191906
70,Core Java 2,"Horstmann, Cay S.",Prentice-Hall,20210101.0,0,9780131482029
71,어서와 Java는 처음이지! (JDK8로 배우는 자바 프로그래밍),천인국,인피니티북스,20151125.0,32010,9791185578217
72,JAVA를 자바라: 기본편 (기본편),한재일,국민대학교출판부,20130828.0,25000,9788978123297
73,Java를 이용한 암호학,David Bishop,홍릉과학출판사,20040317.0,24750,9788972833888
74,JAVA가 보이는 그림책 (국내 최초 그림으로 배우는 JAVA 프로그래밍 입문서),"ANK Co., Ltd.",성안당,20131125.0,0,9788931552782
75,Java Programming (Dreamblood: Book 1),,"Cengage Learning, Inc",20220616.0,105230,9780357673423
76,JAVA 구현 자료구조론,한정란,21세기사,20190830.0,16200,9788984688407
77,JAVA 프로그래밍 실습,한재일,국민대학교출판부,20090904.0,12000,9788978122832
78,Java 프로그래밍 입문 (현업 개발자의 실무 멘토링),이지훈,북스홀릭퍼블리싱,20131122.0,28500,9791185123042
79,알기 쉽게 해설한 JAVA,김충석,이한미디어,20170301.0,0,9788993163247
80,Javaビルドツ-ル入門 (Maven/Gradle/SBT/Bazel對應),쇼다 츠야노,秀和システム,20170208.0,36760,9784798049380
81,JAVA 8.0 쉽게 배우기,임정목,현우사,20150710.0,27000,9788980814671
82,Java 5.0 Tiger (A Developer’s Notebook),,O&#39;Reilly Media,20040630.0,51990,9780596007386
83,JAVA를 자바라: 기본편,한재일,국민대학교출판부,20120210.0,25000,9788978123105
84,JAVA 프로그래밍 기초,곽윤식,상학당,20070305.0,15000,9788985437394
85,Java 윈도우 프로그래밍 (시뮬레이션 예제중심),한창희,지코사이언스,20180115.0,17000,9788993601688
86,Java 프로그래밍 길잡이,인경열,가메,20141210.0,21600,9788980782741
87,Perfect JAVA,강환수^윤석민^이현숙^조진형^김시우,청람,20130910.0,23750,9788959723409
88,핵심 JavaScript (웹 프로그래밍의 실력 향상을 위한),김재호,북스홀릭퍼블리싱,20150202.0,16200,9791185123349
89,Java on Tips,,LAP Lambert Academic Publishing,20191004.0,201450,9786200326218
90,컴퓨터 네트워크 프로그래밍 (Java Version),김화종,휴먼사이언스,20090302.0,18000,9788996190646
91,Java 시큐어코딩 가이드 (전자정부 SW 개발.운영자를 위한),,휴먼컬처아리랑,20150415.0,33000,9791155654170
92,Java 9 모듈 프로그래밍 (자바 모듈 프로그래밍으로 재사용 가능하고 관리하기 쉬운 코드 작성하기),코시크 코타갈,한빛미디어,20180501.0,18900,9791162240403
93,R과 Java로 크롤링하자,노규성,생능출판,20170217.0,0,9788970509037
94,이클립스 요술램프 (Java의 마법에 빠져볼까?),,에이콘출판사,20040416.0,22500,9788989975403
95,Modular Java (Creating Flexible Applications With OSGi and Spring),Not Available (CON),Pragmatic,20090701.0,51930,9781934356401
96,Java Rmi 반양장,"Grosso, William",O&#39;Reilly,20011001.0,0,9781565924529
97,Java 8 Lambdas (Pragmatic Functional Programming),O&#39;Reilly Media,Oreilly & Associates Inc,20140407.0,52000,9781449370770
98,Ivor Horton’s Beginning Java: Java 7 Edition (Java 7 Edition),"Horton, Ivor",WROX Press,20110909.0,66860,9780470404140
99,Web Services Patterns (Java Edition),"Monday, Paul/ Monday, Paul B.",Apress,20030401.0,65070,9781590590843
0,Java Threads,"Oaks, Scott/ Wong, Henry",O&#39;Reilly Media,20040901.0,33550,9780596007829
1,Ajax on Java,"Olson, Steven Douglas",.,20070201.0,0,9780596101879
2,Flex on Java,,Manning Publications,20100429.0,52520,9781933988795
3,Java 8 Recipes,,Apress,20140913.0,85640,9781430268277
4,JAVA 객체지향 디자인 패턴 (UML과 GoF 디자인 패턴 핵심 10가지로 배우는),정인상,한빛미디어,20140402.0,25200,9788968480911
5,"Head First Java (뇌 회로를 자극하는 자바 학습법, 개정판)",케이시 시에라,한빛미디어,20051120.0,25200,9788979143713
6,JAVA 시각화 객체지향 입문 (새틀(SETL)을 이용한),유홍준,소프트웨어품질기술원,20150520.0,16200,9791195482924
7,Java EE 아키텍트 핸드북 (성공적인 Java EE 애플리케이션 아키텍트가 되는 방법),Derek C. Ashmore,와우북스,20150512.0,23400,9788994405230
8,JAVA 프로그래밍 사로잡기 (만만한 프로그래밍 시리즈 03),김권식,정보문화사,20090430.0,16200,9788956744605
9,Java For Kids (NetBeans 11 Programming Tutorial),,Kidware Software & BibleByte Books,20191113.0,129040,9781937161088
10,Java 9 Cookbook,"Sanaulla, Mohamed^Samoylov, Nick",Packt Publishing,20181001.0,59000,9781786461407
11,Java in Easy Steps: Covers Java 9 (Covers Java 9),,In Easy Steps,20171205.0,20930,9781840787535
12,Masks of Java (Coloring Pages for Kids and Kids at Heart),,"Blue Ivy Press, LLC",20171128.0,17190,9781948344432
13,Javaプログラミング入門,쇼다 츠야노,秀和システム,20150928.0,36760,9784798044774
14,Java Actually (A First Course in Programming),,Thomson Learning,20070131.0,184210,9781844804184
15,Hardcore Java,"Simmons, Robert, Jr.",O&#39;Reilly & Associates,20040301.0,59360,9780596005689
16,Java in Easy Steps: Covers Java 8 (Covers Java 8),In Easy Steps,In Easy Steps,20140902.0,19330,9781840786217
17,Absolute Java,,Pearson Higher Education,20090315.0,91470,9780131365896
18,JAVA를 게임으로 정복하기 (자바전문가 임동혁의),임동혁,북스홀릭,20110715.0,0,9788994914305
19,"Opium to Java (Revenue Farming and Chinese Enterprise in Colonial Indonesia, 1860-1910)",,Equinox Publishing,20070131.0,51560,9789793780498
20,JavaScript 반양장 (Visual QuickStart Guide),"Smith, Dori^Negrino, Tom",Peachpit Press,20121106.0,0,9780321772978
21,Learning Java,"Niemeyer, Patrick/ Knudsen, Jonathan",Oreilly & Associates Inc,20050630.0,66800,9780596008734
22,Absolute Java,"Savitch, Walter",Addison Wesley Longman,20120319.0,244730,9780132830317
23,Java Concepts,,Wiley-Academy,20130402.0,292360,9781118318768
24,SOA With Java (Realizing Service-Orientation With Java Technologies),,Prentice Hall,20140627.0,58500,9780133859034
25,C언어 기반 JAVA 프로그래밍,이형봉,도서출판 홍릉(홍릉과학출판사),20210308.0,17820,9791156008460
26,Java Programming (기초부터 안드로이드 맛보기까지),김은옥,삼양미디어,20111120.0,25200,9788958972280
27,윤성우의 열혈 Java 프로그래밍,윤성우,오렌지미디어,20170705.0,27000,9788996094074
28,초보자를 위한 Java 200제,조효은,정보문화사,20180705.0,25200,9788956747859
29,Java 문제해결과 프로그래밍,Walter Savitch,Pearson,20130925.0,25000,9788945006493
30,프로그래밍 기초를 쌓는 JAVA,박사준,21세기사,20070120.0,15300,9788984681989
31,Java8 프로그래밍 정복하기 (객체지향의 원리를 이해하는),금영욱^조정길,북스홀릭퍼블리싱,20160303.0,30000,9791185123622
32,What’s up JAVA,임동혁,북스홀릭퍼블리싱,20180620.0,31500,9791162890035
33,Beginning Java (A JDK 11 Programming Tutorial),,Kidware Software & BibleByte Books,20191014.0,129040,9781951077006
34,자료구조 (JavaScript로 배우는),오주영,에듀컨텐츠휴피아,20190201.0,0,9788963562483
35,Effective Java,Joshua Bloch,Addison-Wesley,20180110.0,67640,9780134685991
36,JAVA 기반 객체지향 자료구조 (소프트웨어설계 중심),CHIP WEEMS^DANIEL T. JOYCE^CHIP WEEMS,그린,20070831.0,35000,9788957270950
37,Efficient Java (A Practical Guide to Memory-conscious Programming),,Prentice Hall,20170430.0,66860,9780321712097
38,The Java Virtual Machine Specification: Java SE (Java SE 8 Edition),"Addison-Wesley Professional^Yellin, Frank^Bracha, Gilad",Addison-Wesley Professional,20160614.0,78000,9780133905908
39,Javaフレ-ムワ-ク入門 第5版,쇼다 츠야노,秀和システム,20160328.0,36760,9784798046396
40,JAVA(Internet) (Internet),문봉근,기한재,20020307.0,10800,9788970182162
41,Java 2 by Example (By Example),"Friesen, Jeff",Que,20011201.0,74290,9780789725936
42,Reviewing Java,,Lulu.com,20130721.0,86070,9780557043552
43,Javaで學ぶコンピュ-タ數學,平田敦,カットシステム,20130729.0,49900,9784877833206
44,Effective Java,"Block, Joshua",Prentice Hall PTR,20080509.0,89690,9780321356680
45,Java & Bali 텝북,Periplus Editions (NA),Tuttle,20080215.0,0,9780794605315
46,Java 2 Unleashed,,Sams,20020701.0,81720,9780672323942
47,Beginning Ejb 3: Java Ee 7 Edition (Java Ee 7 Edition),,Apress,20130424.0,72120,9781430246923
48,Spiritual Java (A New Translation for the Occult Practitioner),,Destiny Image,20101021.0,34070,9780768412666
50,이것이 자바다 (신용권의 Java 프로그래밍 정복),신용권,한빛미디어,20150105.0,27000,9788968481475
51,JUMPING TO JAVA,편집부,삼양출판사,19970430.0,16200,9788985226714
52,Bitter Java 반양장,"Tate, Bruce",Oreilly & Associates,20210101.0,0,9781930110434
53,코드를 통해 본 빵형의 실전 Java (실무 해결을 위한 실전 실습서(Java 14 최신 버전 포함)),박명철,남가람북스,20200605.0,28800,9791189184056
54,UML 실전에서는 이것만 쓴다 (JAVA 프로그래머를 위한 UML),로버트 S. 코스,인사이트,20110104.0,18000,9788991268937
55,JAVA Programing,육 해 공군사관학교 컴퓨터과학교수,양서각,20130225.0,30000,9788955683691
56,객체지향 프로그래밍 언어 JAVA,강대욱,인터비젼,20040415.0,27000,9788956671925
57,Monumental Java,,Alpha Editions,20200115.0,20200,9789353971984
58,Sams Teach Yourself Java in 21 Days (Covers Java 11/12) (Covering Java 9),,Sams,20191208.0,66860,9780672337956
59,자료구조와 알고리즘을 함께 Java! (퀴즈로 쏙쏙 이해하는 초보자를 위한 입문서),손상우,비제이퍼블릭,20210423.0,22500,9791165920579
60,JavaScript 프로그래밍 (실전에서 써먹는),김형훈,영진닷컴,20130605.0,22500,9788931443820
61,수치해석 및 전산통계 (JAVA 프로그래밍과 함께 배우는),이정진,자유아카데미,20140521.0,34200,9788973384341
62,Java EE 8 Cookbook,,Packt Publishing,20180411.0,86070,9781788293037
