,제목,저자,출판사,출판일,가격,ISBN
0,코딩 자율학습 나도코딩의 C 언어 입문 (C 언어의 완공을 돕는 프로그래밍 자습서),나도코딩,길벗,20221010,23400,9791140701551
1,혼자 공부하는 C 언어 (1:1 과외하듯 배우는 프로그래밍 자습서),서현우,한빛미디어,20190610,21600,9791162241868
2,C언어 Express (Visual Studio 2019),천인국,생능출판,20180820,27000,9788970509570
3,C언어,한광록,복두출판사,20150120,21780,9791185880976
4,C 언어,채현석,오성미디어,20100219,17000,9788992583701
5,C언어,정구철,공감북스,20160831,20000,9791186898161
6,C언어 (퍼즐을 이용한 알고리즘 학습을 통해 창의력 논리력 사고력 증진),최재혁,도서출판 홍릉(홍릉과학출판사),20120220,26730,9788972839996
7,C 언어,김창화,한올출판사,20090225,16000,9788983255341
8,C 언어,신화정,정익사,20120201,0,9788935304738
9,C언어,이대식,오성미디어,20130305,20000,9788966280605
10,이것이 자료구조+알고리즘이다 with C 언어 (문제 해결 능력을 키워주는 자료구조+알고리즘 입문서),박상현,한빛미디어,20220803,30600,9791169210034
11,코딩과의 첫 만남 1:  C언어편 (C언어편),김득수,21세기사,20190103,18000,9788984688209
12,C언어 기초,김종진,다올미디어,20180305,22500,9788997587285
13,C언어 실습,이창근,컴원미디어,20140315,16150,9788992475594
